,Name,Company,LinkedIn,Batch
0,Pierre Betouin,Sqreen,https://www.linkedin.com/in/pbetouin/,W18
1,Jean-Baptiste Aviat,Sqreen,https://www.linkedin.com/in/jbaviat,W18
2,Igino Cafiero,Bear Flag Robotics,https://www.linkedin.com/in/igino-cafiero-43b213b0,W18
3,Aubrey Donnellan,Bear Flag Robotics,https://www.linkedin.com/in/aubrey-donnellan-0b676b7/,W18
4,Ishan Bansal,Groww,https://in.linkedin.com/in/ishan-bansal-8678b216,W18
5,Harsh Jain,Groww,https://in.linkedin.com/in/harshjainiitd,W18
6,Lalit Keshre,Groww,https://www.linkedin.com/in/lalitkeshre,W18
7,Neeraj Singh,Groww,https://www.linkedin.com/in/neeraj-singh-a910819,W18
8,Spike Lipkin,Newfront,https://www.linkedin.com/in/spike-lipkin-8173651b/,W18
9,Gordon Wintrob,Newfront,https://www.linkedin.com/in/gwintrob,W18
10,Jamie Marshall,Snackpass,https://www.linkedin.com/in/jamie-marshall-b291a2120/,W18
11,Kevin Tan,Snackpass,http://linked.com/kevinhuangtan,W18
12,Haya Abdalla,Replit,https://www.linkedin.com/in/haya-odeh-b0725928,W18
13,Amjad Masad,Replit,https://www.linkedin.com/in/amjadmasad,W18
14,James Slezak,Swayable,https://www.linkedin.com/in/jslezak,W18
15,christina lopes,FidoCure®,https://www.linkedin.com/in/christina-lopes-8679455/,W18
16,Kaarel Kotkas,Veriff,https://www.linkedin.com/in/kaarelkotkas/,W18
17,Dainis Kruze,Aerones,https://www.linkedin.com/in/dainis-kruze-63b19013/,W18
18,Janis Putrams,Aerones,https://www.linkedin.com/in/janis-putrams-2ab19345/,W18
19,Michael Rendy Tanuwidjaja,Super,https://id.linkedin.com/in/michael-rendy-3641ab67,W18
20,Steven Wongsoredjo,Super,https://www.linkedin.com/in/stevenwongsoredjo/,W18
21,Karan Mirchandani,Helloverify,https://www.linkedin.com/in/karan-mirchandani-917a1a84/,W18
22,Varun Mirchandani,Helloverify,https://www.linkedin.com/in/varun-mirchandani-b342a43/,W18
23,Susli Lie,ErudiFi,https://www.linkedin.com/in/susli/,W18
24,Naga Tan,ErudiFi,https://www.linkedin.com/in/nagatan/,W18
25,Hubert Wong,CaptivateIQ,http://www.linkedin.com/in/hubertw,W18
26,Mark Schopmeyer,CaptivateIQ,https://www.linkedin.com/in/mschop/,W18
27,Conway Teng,CaptivateIQ,https://www.linkedin.com/in/conway-teng/,W18
28,Michael Phillips,Vena Medical,https://www.linkedin.com/in/m4philli/,W18
29,Phillip Cooper,Vena Medical,http://www.linkedin.com/in/phillip-cooper-95b06810b,W18
30,Dan Siroker,Mind Emulation Foundation,https://www.linkedin.com/in/dsiroker/,W18
31,Ayal Yogev,Anjuna,https://www.linkedin.com/in/ayalyogev/,W18
32,Aziz Alghunaim,Tarjimly,https://www.linkedin.com/in/azizkag,W18
33,Atif Javed,Tarjimly,https://www.linkedin.com/in/atifmjaved/,W18
34,Jess Ladd,Callisto,https://www.linkedin.com/in/jessicahladd,W18
35,Anjana Rajan,Callisto,https://www.linkedin.com/in/anjanarajan/,W18
36,Akash Singh,Observe.AI,https://www.linkedin.com/in/akash-singh-0b57b916/,W18
37,Swapnil Jain,Observe.AI,https://www.linkedin.com/in/swapniljain849/,W18
38,Sharath Keshava Narayana,Observe.AI,http://linkedin.com/in/sharathkishan,W18
39,Matt Ball,Culture Biosciences,https://www.linkedin.com/in/matt-ball-2357171b/,W18
40,Will Patrick,Culture Biosciences,https://www.linkedin.com/in/wgpatrick,W18
41,Zack Abbott,ZBiotics,https://www.linkedin.com/in/zaabbott,W18
42,Stephen Lamb,ZBiotics,https://www.linkedin.com/in/stephen-lamb-295a7819/,W18
43,Andrew Martz,ArchForm,https://www.linkedin.com/in/martzandrew/,W18
44,Devin Finzer,OpenSea,https://www.linkedin.com/in/dfinzer,W18
45,Amit Maurya,AlgoSurg Inc,https://www.linkedin.com/in/amitdmaurya/,W18
46,Vikas Karade,AlgoSurg Inc,https://www.linkedin.com/in/vikaskarade/,W18
47,Abhinav Das,Orangewood Labs,http://in.linkedin.com/in/abhinavdas1985,W18
48,Akash Bansal,Orangewood Labs,,W18
49,Aditya Bhatia,Orangewood Labs,https://www.linkedin.com/in/aditya-bhatia-0904b086/,W18
50,Jean Patry,Mojo,https://www.linkedin.com/in/jean-patry-41244348/,W18
51,Francescu Santoni,Mojo,https://www.linkedin.com/in/francescu/,W18
52,Giovanni Casinelli,Aspire,https://sg.linkedin.com/in/giovannicasinelli,W18
53,Andrea Baronchelli,Aspire,https://www.linkedin.com/in/andrea-baronchelli-0979a541/,W18
54,Sondre Rasch,SafetyWing,https://www.linkedin.com/in/srasch,W18
55,Sarah Sandnes,SafetyWing,http://www.linkedin.com/in/sarahbeate/,W18
56,Hans Nyvold Kjellby,SafetyWing,https://www.linkedin.com/in/hans-nyvold-kjellby-84975162/,W18
57,Andrew Peek,Delphia,https://ca.linkedin.com/in/drupeek,W18
58,Cliff van der Linden,Delphia,https://www.linkedin.com/in/cliffvanderlinden,W18
59,Yusuf Sherwani,Pelago,https://www.linkedin.com/in/ysherwani/,W18
60,Maroof Ahmed,Pelago,https://www.linkedin.com/in/maroof-ahmed-b5b8b3100/,W18
61,Sarim Siddiqui,Pelago,https://www.linkedin.com/in/sarim-siddiqui-64b4b8103/,W18
62,Chris Best,Substack,https://www.linkedin.com/in/cjgbest/,W18
63,Hamish McKenzie,Substack,http://linkedin.com/in/hamishmckenzie,W18
64,Jairaj Sethi,Substack,https://www.linkedin.com/in/jairaj-sethi-3823b525,W18
65,Max Child,Volley,http://www.linkedin.com/in/mlchild,W18
66,James Wilsterman,Volley,http://linkedin.com/in/jameswilsterman,W18
67,Jahaan Ansari,Gainful,https://www.linkedin.com/in/jahaan,W18
68,Andrew Tjang,Cognition IP,https://www.linkedin.com/in/andrew-tjang/,W18
69,Dan Delaney,Players' Lounge,https://www.linkedin.com/in/dandelaney8/,W18
70,Zach Dixon,Players' Lounge,https://www.linkedin.com/in/zachdixon,W18
71,Austin Woolridge,Players' Lounge,https://www.linkedin.com/in/austin-woolridge-64b81730/,W18
72,Christoph Lynen,Psylaris,https://www.linkedin.com/in/christophlynen/,W18
73,Chris Dean,Treasury Prime,https://www.linkedin.com/in/ctdean/,W18
74,Vivian Shen,Juni,https://www.linkedin.com/in/vivianmshen/,W18
75,Joseph Cohen,Universe,https://www.linkedin.com/in/josephmcohen/,W18
76,Sam Browne,Let's Do This,https://uk.linkedin.com/in/sam-browne-a86268b0,W18
77,Alex Rose,Let's Do This,https://www.linkedin.com/in/alexgrose/,W18
78,Juan Catalano,Podcast App,https://www.linkedin.com/in/juancatalano/,W18
79,Martin Siniawski,Podcast App,https://www.linkedin.com/in/msinia,W18
80,Diego Marcos Segura,Supermedium,https://www.linkedin.com/in/diegomarcos/,W18
81,Simón González,Tributi,http://linkedin.com/in/simón-gonzález-78964269,W18
82,Andrés Vélez,Tributi,https://www.linkedin.com/in/andr%C3%A9s-v%C3%A9lez-8263a443/,W18
83,Nathan Resnick,Sourcify,https://linkedin.com/in/nathanresnick,W18
84,Charles Duffy,Plexus,https://www.linkedin.com/in/charles-duffy-6573ba62/,W18
85,Matt Hogbin,Plexus,https://www.linkedin.com/in/matt-h-774901205/,W18
86,Shiz Aoki,BioRender,https://www.linkedin.com/in/shizukaaoki/,W18
87,Ryan Marien,BioRender,https://www.linkedin.com/in/ryanmarien/,W18
88,Katya Shteyn,BioRender,https://www.linkedin.com/in/ekaterinashteyn/,W18
89,Lisa Gelobter,tEQuitable,https://www.linkedin.com/in/lisagelobter/,W18
90,Dane Schneider,EnvKey,https://www.linkedin.com/in/daneschneider/,W18
91,Juan Caviglia,Meitre,https://www.linkedin.com/profile/view?id=45967611,W18
92,Luis Caviglia,Meitre,http://uy.linkedin.com/in/luiscaviglia,W18
93,Brian Luerssen,Draftbit,http://www.linkedin.com/in/brianluerssen/,W18
94,Sahar Saidi,LUS Brands,https://www.linkedin.com/in/saharsaidi/,W18
95,Christina Cacioppo,Vanta,http://linkedin.com/in/ccacioppo,W18
96,Amy Chiu,Dear Brightly,https://www.linkedin.com/in/amyleechiu/,W18
97,Alda Luong,Dear Brightly,https://www.linkedin.com/in/aldaluong/,W18
98,Deepak Chhugani,Nuvocargo,https://www.linkedin.com/in/deepakchhugani/,W18
99,Niki Bayat,AesculaTech,https://www.linkedin.com/in/niki-bayat-1ba52b4b/,W18
100,Stephanie Culler,Persephone Biosciences,https://www.linkedin.com/in/stephanie-culler/,W18
101,Stephen Van Dien,Persephone Biosciences,https://www.linkedin.com/in/steve-van-dien-48479/,W18
102,Alyson Watson,Modern Health,https://www.linkedin.com/in/alyson-friedensohn-58317b27/,W18
103,Phaedra Ellis-Lamkins,Promise,https://www.linkedin.com/in/phaedra-ellis-lamkins-9b51206/,W18
104,Diana Frappier,Promise,https://www.linkedin.com/in/diana-frappier-b3304710,W18
105,Thaddeus Allen,Tradewind BioScience,https://www.linkedin.com/in/thaddeus-allen-1a80466/,W18
106,Aurelia Song,Nectome,https://www.linkedin.com/in/aurellem,W18
107,Newsha Ghaeli,Biobot Analytics,https://www.linkedin.com/in/newshaghaeli/,W18
108,Mariana Matus,Biobot Analytics,https://www.linkedin.com/in/marianamatus/,W18
109,Jacob Hess,NEXGENT,https://www.linkedin.com/in/jacobchess,W18
110,Terry Kim,NEXGENT,https://linkedin.com/in/projectkim,W18
111,Monica Berrondo,Macromoltek,https://www.linkedin.com/in/monicaberrondo,W18
112,Susana Kaufmann,Macromoltek,https://www.linkedin.com/in/susanakaufmannn,W18
113,Shak Lakhani,Avro Life Science,https://www.linkedin.com/in/shaklakhani/,W18
114,Keean Sarani,Avro Life Science,https://ca.linkedin.com/in/imkeean,W18
115,Slava Solonitsyn,Mighty Buildings,https://www.linkedin.com/in/solonitsyn/,W18
116,Dmitry Starodubtsev,Mighty Buildings,https://www.linkedin.com/in/dimastar/,W18
117,Katherine Homuth,SRTX,https://www.linkedin.com/in/katherinehague/,W18
118,Alejandro Casas,Simetrik,https://www.linkedin.com/in/alejandrocasas/,W18
119,Santiago Gomez,Simetrik,https://www.linkedin.com/in/santiagomezgg/,W18
