Unnamed: 0,Name,Company,LinkedIn,Batch,exit_value_usd,total_funding_usd
0,Pedro Franceschi,Brex,https://www.linkedin.com/in/pfranceschi,W17,0.0,1315000000.0
1,Henrique Dubugras,Brex,https://br.linkedin.com/in/henriquedubugras,W17,0.0,1315000000.0
2,Wei Deng,Clipboard Health,https://www.linkedin.com/in/dengwei,W17,0.0,90000000.0
3,Marcelo Cortes,Faire,https://www.linkedin.com/in/marcelo-cortes-b34317,W17,0.0,1400000000.0
4,Daniele Perito,Faire,https://www.linkedin.com/in/danieleperito,W17,0.0,1400000000.0
5,Max Rhodes,Faire,https://www.linkedin.com/in/max-rhodes,W17,0.0,1400000000.0
6,Parker Conrad,Rippling,https://www.linkedin.com/in/parkerconrad,W17,0.0,802500000.0
7,Prasanna S,Rippling,https://www.linkedin.com/in/myprasanna,W17,0.0,802500000.0
8,Chris Pihl,Sigma Genetics,https://www.linkedin.com/in/chris-pihl-4a84b1a/,W17,0.0,1500000.0
9,Anthony Romero,ACLU,https://www.linkedin.com/in/anthony-romero-7a28454,W17,0.0,24000000.0
10,Kevin Kliman,Humi,http://www.linkedin.com/in/kkliman,W17,0.0,38000000.0
11,Matt Loszak,Humi,https://www.linkedin.com/in/matt-loszak-09531a150,W17,0.0,38000000.0
12,David Hsu,Retool,https://www.linkedin.com/in/dvdhsu,W17,0.0,65000000.0
13,Nikolai Eroshenko,Helix Nanotechnologies,https://www.linkedin.com/in/nikolai-eroshenko-668998119,W17,0.0,250000.0
14,Hannu Rajaniemi,Helix Nanotechnologies,http://www.linkedin.com/in/hannur/,W17,0.0,250000.0
15,Evgeny Kuryshev,Mirror AI,https://linkedin.com/in/evgenyq,W17,0.0,3500000.0
16,Sindhuja Jeyabal,Dost Education,htttp://www.linkedin.com/in/sindhujajeyabal,W17,0.0,170000.0
17,Sneha Sheth,Dost Education,https://www.linkedin.com/in/snehaksheth,W17,0.0,170000.0
18,Alex Cyriac,"Lively, Inc.",https://www.linkedin.com/in/alex-cyriac-1218137,W17,0.0,120000000.0
19,Shobin Uralil,"Lively, Inc.",https://www.linkedin.com/shobinuralil,W17,0.0,120000000.0
20,William MacAskill,The Centre for Effective Altruism,http://uk.linkedin.com/in/wdmacaskill,W17,0.0,0.0
21,Ryan Pawell,Indee Labs,https://www.linkedin.com/in/rpawell,W17,0.0,5400000.0
22,Ryan Chan,UpKeep,https://linkedin.com/in/ryan-chan-72aa6256,W17,0.0,48700000.0
23,Pratish Gandhi,OneFin,https://www.linkedin.com/in/pratishgandhi,W17,0.0,0.0
24,Harshit Vaishnav,OneFin,https://in.linkedin.com/in/harshitv,W17,0.0,0.0
26,Shubhendu Sharma,"Wifi Dabba, Inc.",https://linkedin.com/in/shubhendusharma,W17,0.0,120000.0
27,Liza Velarde,Delee,https://www.linkedin.com/in/lizavelarde/,W17,0.0,2600000.0
28,Alejandro Abarca-Blanco,Delee,https://linkedin.com/in/alejandroabarca,W17,0.0,2600000.0
29,Juan Felipe Yee De León,Delee,https://mx.linkedin.com/in/juan-felipe-yee-55107a5b,W17,0.0,2600000.0
30,Sarthak Jain,NanoNets,https://in.linkedin.com/in/jainsarthak,W17,0.0,42000000.0
31,Prathamesh Juvatkar,NanoNets,https://www.linkedin.com/in/prathameshjuvatkar,W17,0.0,42000000.0
32,Oliver Armitage,BIOS Health,https://uk.linkedin.com/in/oliver-armitage-87280731,W17,0.0,26200000.0
33,Emil Hewage,BIOS Health,https://uk.linkedin.com/in/ehewage,W17,0.0,26200000.0
34,Pelumi Aboluwarin,Nomba,https://uk.linkedin.com/in/pelumiaboluwarin,W17,0.0,35000000.0
35,Yinka Adewale,Nomba,https://www.linkedin.com/in/adeyinka-adewale-7b779448?trk=nav_responsive_tab_profile_pic,W17,0.0,35000000.0
36,Kevin Han,AON3D,http://linkedin.com/in/hankevin,W17,0.0,14200000.0
37,Randeep Singh,AON3D,https://linkedin.com/in/rndeep,W17,0.0,14200000.0
38,Andrew Walker,AON3D,https://www.linkedin.com/in/andrewrswalker,W17,0.0,14200000.0
39,Wayne Anderson,Smart Alto,https://www.linkedin.com/public-profile/settings?trk=prof-edit-edit-public_profile,W17,0.0,0.0
40,Hassan Riggs,Smart Alto,https://www.linkedin.com/in/hassanmayriggs,W17,0.0,0.0
41,OJIMA BENJAMIN UFARUNA,BuyPower,https://www.linkedin.com/in/ojima-benjamin-ufaruna-16a47714,W17,0.0,0.0
42,Asehinde Oladipo,BuyPower,https://www.linkedin.com/in/oladipo-asehinde-49581b137,W17,0.0,0.0
43,Erhan Justice,Apozy,https://www.linkedin.com/in/erhan-justice,W17,0.0,270000.0
44,Matthew Mayaki,Reliance Health,https://ng.linkedin.com/in/matthew-mayaki-00b8345b,W17,0.0,48000000.0
45,Femi Kuti,Reliance Health,https://www.linkedin.com/in/femi-kuti-3766506,W17,0.0,48000000.0
46,Opeyemi Olumekun,Reliance Health,https://ng.linkedin.com/pub/opeyemi-olumekun/36/8b4/bb6,W17,0.0,48000000.0
47,Gonzalo Ucar,Hogaru,https://www.linkedin.com/in/gonzalo-ucar-rodriguez,W17,0.0,810000.0
48,Matt Drozdzynski,Plane,https://linkedin.com/in/matid/,W17,0.0,0.0
49,🌍 Staszek Kolarzowski,Plane,https://www.linkedin.com/profile/view?id=329406982,W17,0.0,0.0
50,Viktor Benei,Bitrise,https://hu.linkedin.com/in/viktorbenei,W17,0.0,83320000.0
51,Daniel Balla,Bitrise,https://hu.linkedin.com/in/balladaniel,W17,0.0,83320000.0
52,Barnabas Birmacher,Bitrise,https://hu.linkedin.com/in/birmacher,W17,0.0,83320000.0
53,Sean Hunt,Solugen,https://www.linkedin.com/in/huntsean,W17,0.0,856670000.0
54,Gaurab Chakrabarti,Solugen,https://www.linkedin.com/in/gaurabchakrabarti?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,W17,0.0,856670000.0
55,Devang Shah,Bulk MRO Industrial Supply,https://www.linkedin.com/in/devangvshah,W17,0.0,10020000.0
56,Gaurang Shah,Bulk MRO Industrial Supply,https://www.linkedin.com/in/gaurangvshah,W17,0.0,10020000.0
57,Marcus Engene,Inboxbooster,https://www.linkedin.com/in/ehsmeng/,W17,0.0,1000000.0
