,Name,Company,LinkedIn,Batch
0,Brian Armstrong,Coinbase,https://www.linkedin.com/in/barmstrong/,S12
1,Apoorva Mehta,Instacart,https://www.linkedin.com/in/apoorvamehta/,S12
2,Brandon Leonardo,Instacart,https://www.linkedin.com/in/leonardo/,S12
3,Max Mullen,Instacart,https://www.linkedin.com/in/maxmullen/,S12
4,Sajith Wickramasekara,Benchling,,S12
5,Brian Noguchi,Lever,https://linkedin.com/in/briannoguchi,S12
6,Nate Smith,Lever,https://www.linkedin.com/in/nateps/,S12
7,Sarah Nahm,Lever,https://www.linkedin.com/in/sarahnahm,S12
8,Dan Carroll,Clever,https://www.linkedin.com/in/danielcarroll/,S12
9,Rafael Garcia,Clever,https://www.linkedin.com/in/rafgarcia/,S12
10,Michael Carvin,SmartAsset,https://www.linkedin.com/in/michael-carvin-5315692a,S12
11,Wade Foster,Zapier,https://www.linkedin.com/in/wadefoster/,S12
12,Bryan Helmig,Zapier,https://www.linkedin.com/in/bryanhelmig,S12
13,Mike Knoop,Zapier,https://www.linkedin.com/in/mikeknoop,S12
14,Chris Chan,9gag,,S12
15,Derek Chan,9gag,,S12
16,Ray Chan,9gag,https://linkedin.com/in/raychan,S12
17,Marco Fung,9gag,,S12
18,Brian Yu,9gag,https://www.linkedin.com/in/barelyanything/,S12
19,Dustin Curtis,Svbtle,https://www.linkedin.com/in/dustinjcurtis,S12
20,Venky B,Plivo,https://linkedin.com/in/bevenky,S12
21,Michael Ricordeau,Plivo,https://www.linkedin.com/in/michaelricordeau/,S12
22,David Cann,Double Robotics,https://www.linkedin.com/in/davidjcann,S12
23,Marc DeVidts,Double Robotics,https://www.linkedin.com/in/marcdevidts,S12
24,Jonathan Tang,Vastrm,https://www.linkedin.com/in/jonathantang/,S12
25,Lauren Sullivan,Flightfox,https://www.linkedin.com/in/lozsul/,S12
26,Todd Sullivan,Flightfox,https://www.linkedin.com/in/todsul/,S12
27,Maxwell Salzberg,BackerKit,https://www.linkedin.com/in/maxwell-salzberg/,S12
28,Rosanna Yau,BackerKit,https://www.linkedin.com/in/rosannayau/,S12
29,Michael FitzGerald,Submittable,https://linkedIn.com/radiantdays,S12
30,John Brownell,Submittable,https://www.linkedin.com/in/brucetribbensee,S12
31,Bruce Tribbensee,Submittable,,S12
32,Samuel Clay,NewsBlur,https://www.linkedin.com/in/kathryn-minshew,S12
33,Rikin Shah,OctaveWealth,https://linkedin.com/in/rik1shah,S12
34,Chris Kelly,Upwave,https://www.linkedin.com/in/christopherkelly,S12
35,Katelyn Gleason,Eligible,,S12
36,Alex Mittal,FundersClub,https://www.linkedin.com/in/alexandermittal/,S12
37,Boris Silver,FundersClub,https://www.linkedin.com/in/borismsilver/,S12
38,Dan Sugarman,Zentail,https://www.linkedin.com/in/dansugarman/,S12
39,Ian Tien,Mattermost,https://www.linkedin.com/in/iantien/,S12
40,George Kalogeropoulos,HealthSherpa,,S12
41,Ning Liang,HealthSherpa,https://linkedin.com/in/ningliang,S12
42,Jay Komarneni,Human Dx,https://www.linkedin.com/in/irvinglin,S12
43,Irving Lin,Human Dx,https://www.linkedin.com/in/irvinglin,S12
44,Mandar Agte,Mth Sense,https://www.linkedin.com/in/sdewald,S12
45,Mohan Balachandran,Mth Sense,https://linkedin.com/mohanbalachandran,S12
46,Fred Stevens-Smith,Rainforest,https://www.linkedin.com/in/fredstevenssmith/,S12
47,Sam Chaudhary,ClassDojo,https://www.linkedin.com/in/samchaudhary/,S12
48,Liam Don,ClassDojo,https://www.linkedin.com/in/liamdon/,S12
49,Ethan Fieldman,Study Edge,https://www.linkedin.com/in/ethanfieldman%20%20,S12
50,Alexander Debelov,Virool,https://www.linkedin.com/in/techentrepreneur1/,S12
51,Alexander Blessing,VoiceGem,https://www.linkedin.com/in/alexblessing/,S12
52,Arda Kara,VoiceGem,https://www.linkedin.com/in/fardakara/,S12
53,Al Abut,Mattermark,https://www.linkedin.com/in/alabut/,S12
54,"Danielle ""Elle"" Morrill",Mattermark,https://www.linkedin.com/in/daniellemorrill/,S12
55,Kevin Morrill,Mattermark,https://www.linkedin.com/in/kmorrill/,S12
56,Craig Soules,Natero,https://www.linkedin.com/in/craigsoules,S12
57,Garth Goodson,Natero,,S12
58,Mike McCauley,BufferBox,https://www.linkedin.com/in/mccauleymike/,S12
59,Aditya Bali,BufferBox,https://www.linkedin.com/in/adityabali/,S12
60,Jay Shah,BufferBox,https://linkedin.com/in/jaykshah,S12
61,Matt Colyer,Easel,https://www.linkedin.com/in/mattcolyer/,S12
62,Ben Ogle,Easel,https://www.linkedin.com/in/benogle,S12
63,Jamie Wong,Vayable,https://www.linkedin.com/in/jamiejwong/,S12
64,John Coogan,Soylent,http://www.linkedin.com/in/jacoogan,S12
65,Hunter Scott,Soylent,https://www.linkedin.com/profile/view?id=38400550,S12
66,Matt Cauble,Soylent,https://www.linkedin.com/in/thomas-georgiou-94803323,S12
67,Rob Rhinehart,Soylent,,S12
68,K T,Soylent,http://linkedin.com/in/thangudu,S12
69,Ritik Malhotra,Streem,https://www.linkedin.com/in/ritikmalhotra/,S12
70,Tanooj Luthra,Streem,https://linkedin.com/in/tanoojluthra,S12
71,Samvit Ramadurgam,Streem,http://linkedin.com/in/samvit,S12
72,Brad Phaisan,OmniVirt,https://linkedin.com/in/brad-phaisan-4291681b,S12
73,Nimit Maru,Fullstack Academy,https://www.linkedin.com/in/nimit/,S12
74,David Yang,Fullstack Academy,https://www.linkedin.com/in/davidgyang,S12
75,Greg Laughlin,Statwing,https://www.linkedin.com/in/greglaughlin,S12
76,John Le,Statwing,https://linkedin.com/in/lejohnq,S12
77,Kevin Wang,Kamcord,https://www.linkedin.com/in/kevinywang/,S12
78,Adi Rathnam,Kamcord,https://www.linkedin.com/in/adityarathnam,S12
79,Matt Zitzmann,Kamcord,https://www.linkedin.com/in/mattzitzmann/,S12
80,James Harvey,ZeroMailer,https://www.linkedin.com/in/james-harvey-052a7625/,S12
81,Yuran Lu,ZeroMailer,https://www.linkedin.com/in/yuranlu/,S12
82,Shuang You,ZeroMailer,,S12
83,Matt Tran,Boosted,https://www.linkedin.com/in/matthew-tran-12159a18/,S12
84,John Ulmen,Boosted,https://www.linkedin.com/in/john-ulmen-464b8456/,S12
85,Sanjay Dastoor,Boosted,https://linkedin.com/in/dastoor,S12
86,Ariel Braunstein,Knowmia,,S12
87,Scott Kabat,Knowmia,https://www.linkedin.com/in/scottkabat/,S12
88,Paul Colton,Pixate,https://www.linkedin.com/in/pcolton,S12
89,Kevin Lindsey,Pixate,https://www.linkedin.com/in/kevinlindsey/,S12
90,Rob Attorri,Light Table/Eve,https://www.linkedin.com/in/attorri,S12
91,Chris Granger,Light Table/Eve,https://www.linkedin.com/in/chris-granger-eve,S12
92,Kieran O'Neill,Thread,https://linkedin.com/in/kieranoneill,S12
93,Ben Phillips,Thread,,S12
94,Alek Strygin,GetGoing,https://www.linkedin.com/in/astrygin/,S12
95,Ilya Gluhovsky,GetGoing,https://linkedin.com/in/ilya-gluhovsky,S12
96,Alek Vernitsky,GetGoing,,S12
97,Jaigouk Kim,Scoutzie,https://linkedin.com/in/jaigouk/,S12
98,Kirill Zubovsky,Scoutzie,https://www.linkedin.com/in/kirillzubovsky,S12
99,Jennifer Toda,Scoutzie,https://www.linkedin.com/in/jennifertoda,S12
100,Aston Motes,Assorted Bits,https://www.linkedin.com/in/aston-motes-9a041b2/,S12
101,Sid Doshi,Viacycle,https://www.linkedin.com/in/scdoshi,S12
102,Kyle Azevedo,Viacycle,,S12
103,Koji Intlekofer,Viacycle,http://www.linkedin.com/in/kojiintlekofer,S12
104,Yuriy Romaniw,Viacycle,https://www.linkedin.com/pub/yuriy-romaniw/42/93a/75a,S12
105,Ron Pressler,Parallel Universe,,S12
106,Brian Nguyen,Celery,https://www.linkedin.com/in/bnguyen06/,S12
107,Peter Shih,Celery,https://www.linkedin.com/in/ptshih,S12
108,Chris Tsai,Celery,https://www.linkedin.com/in/cktsai/,S12
109,Weiting Liu,Everyday.me,https://www.linkedin.com/in/weitingliu/,S12
110,Yu-Kuan Lin,Everyday.me,https://www.linkedin.com/in/yukuan/,S12
111,Yu-Te Lin,Everyday.me,https://www.linkedin.com/in/ryanbubinski,S12
112,Sam O'Keefe,MicroEval,https://linkedin.com/in/samokeefe,S12
113,Ernie Park,MicroEval,https://www.linkedin.com/in/ernestipark/,S12
114,Ryan Jackson,MicroEval,https://www.linkedin.com/in/ryanwjackson,S12
115,Ela Madej,Credictive,https://www.linkedin.com/in/elamadej/,S12
116,Mariusz Lusiak,Credictive,https://www.linkedin.com/in/jorilallo,S12
117,Joanna Socha,Credictive,https://www.linkedin.com/in/joanna-socha-7751276,S12
118,Marika Chen,RegistryLove,https://www.linkedin.com/in/sofia-chen,S12
119,Colin Hayhurst,GoScale,https://www.linkedin.com/in/colinhayhurst/,S12
120,James Cunningham,GoScale,https://www.linkedin.com/in/brad-phaisan-4291681b,S12
121,Joe Fraiman,Tastemaker,http://www.linkedin.com/pub/joe-fraiman/20/28a/756,S12
122,Kyle Larson,Tastemaker,http://www.linkedin.com/pub/kyle-larson/0/417/328,S12
123,Esther Park Hallam,Tastemaker,http://www.linkedin.com/in/parkesther,S12
124,Juan Vasquez,Tastemaker,https://www.linkedin.com/in/reach-juan-vasquez/,S12
125,Connor Zwick,Coco Controller,http://www.linkedin.com/in/connorzwick,S12
126,Colton Gyulay,Coco Controller,https://www.linkedin.com/in/cgyulay/,S12
127,David Matthews,Partnered,https://www.linkedin.com/in/j-david-matthews/,S12
128,Baldwin Cunningham,Partnered,,S12
129,Stuart Ross,Partnered,https://www.linkedin.com/in/marc-devidts-b6376510,S12
130,Cullen Wilson,Partnered,,S12
131,Anantha Katragadda,Profig,,S12
132,Bryan Beshore,Keychain Logistics,https://www.linkedin.com/in/bryanbeshore/,S12
133,Garrett Wilson,Keychain Logistics,https://www.linkedin.com/in/-gwil/,S12
134,Neil Joglekar,ReelSurfer,https://www.linkedin.com/in/neiljoglekar,S12
135,Christian Yang,ReelSurfer,https://www.linkedin.com/in/yang-christian,S12
136,Nemil Dalal,Dreamforge,http://linkedin.com/in/nemild/,S12
137,Jordan Lee,Collections,https://linkedin.com/in/jordanglee,S12
138,Tony Xiao,Collections,https://linkedin.com/in/tonyxiao,S12
